english,article,singular,plural
evening (night but not going to sleep),der,Abend,Abende
address,die,Adresse,Adressen
age,das,Alter,Alter
pineapple,die,Ananas,Ananas
registration,die,Anmeldung,Anmeldungen
answer,die,Antwort,Antworten
lawyer,der,Anwalt,Anwälte
lawyer (F),die,Anwältin,Anwältinnen
apartment,das,Apartment,Apartments
apple,der,Apfel,Äpfel
pharmacy,die,Apotheke,Apotheken
apricot,die,Aprikose,Aprikosen
work,die,Arbeit,Arbeiten
worksheet,das,Arbeitsblatt,Arbeitsblätter
home office (work room),das,Arbeitszimmer,Arbeitszimmer
architect,der,Architekt,Architekten
architect (F),die,Architektin,Architektinnen
doctor,der,Arzt,Ärzte
doctor (F),die,Ärztin,Ärztinnen
assistant,der,Assistent,Assistenten
assistant (F),die,Assistentin,Assistentinnen
elevator,der,Aufzug,Aufzüge
exit,der,Ausgang,Ausgänge
car,das,Auto,Autos
automaton (vending machine),der,Automat,Automaten
avocado,die,Avocado,Avocados
baby,das,Baby,Babys
baker,der,Bäcker,Bäcker
baker (F),die,Bäckerin,Bäckerinnen
train,die,Bahn,Bahnen
banana,die,Banane,Bananen
banker (F),die,Bankkauffrau,Bankkauffrauen
banker,der,Bankkaufmann,Bankkaufleute
tree,der,Baum,Bäume
mug,der,Becher,Becher
berry,die,Beere,Beeren
example,das,Beispiel,Beispiele
consultant,der,Berater,Berater
consultant (F),die,Beraterin,Beraterinnen
profession,der,Beruf,Berufe
bed,das,Bett,Betten
duvet cover,der,Bettbezug,Bettbezüge
blanket,die,Bettdecke,Bettdecken
cover,der,Bezug,Bezüge
library,die,Bibliothek,Bibliotheken
librarian,der,Bibliothekar,Bibliothekare
librarian (F),die,Bibliothekarin,Bibliothekarinnen
picture,das,Bild,Bilder
pear,die,Birne,Birnen
sheet,das,Blatt,Blätter
blueberry,die,Blaubeere,Blaubeeren
pencil,der,Bleistift,Bleistifte
notepad,der,Block,Blöcke
flower,die,Blume,Blumen
letter,der,Brief,Briefe
blackberry,die,Brombeere,Brombeeren
brother,der,Bruder,Brüder
book,das,Buch,Bücher
flat iron,das,Bügeleisen,Bügeleisen
